Zeitstempel,Ort der Geschwindigkeitsmessung,Erlaubte Geschwindigkeit (km/h),Gemessene Geschwindigkeit (km/h),Geschwindigkeitsüberschreitung (km/h),Kennzeichen,Fahrzeugmarke,Fahrzeugmodell,Fahrzeugtyp,Name des Fahrzeughalters,Geburtsdatum des Fahrzeughalters,Geschlecht des Fahrzeughalters,Adresse des Fahrzeughalters,Fahrer: Name,Fahrer: Geburtsdatum,Fahrer: Geschlecht,Wetterbedingungen,Sichtverhältnisse,Verkehrsdichte,Bußgeldbetrag (EUR),Punkte in Flensburg,Fahrverbot (Monate),Einspruch eingelegt,Status des Verfahrens,Zahlungsstatus
28.01.2025 05:25:50,B27 zwischen Stuttgart und Tübingen,100,133,33,E-R 969,Mercedes-Benz,C-Klasse,Limousine,Ahmet Khalil,02.05.1946,Männlich,"Lindenstraße 176, 44135 Dortmund",Unklar,Unklar,Unklar,Bewölkt,Nacht - ohne Beleuchtung,Niedrig,159,1,,Nein,In Bearbeitung,Ausstehend
14.07.2025 03:38:58,B27 zwischen Stuttgart und Tübingen,80,118,38,S-O 6039,BMW,X3,SUV,Paul Schneider,07.10.1993,Männlich,"Ringstraße 24, 10115 Berlin",Unklar,Unklar,Unklar,Nebel,Mittel,Niedrig,122,1,,Ja,Gerichtstermin angesetzt,Ausstehend
19.01.2025 16:17:18,B3 Ortsdurchfahrt Celle,120,176,56,S-S 8370,Renault,Megane,Sportwagen,Maria Bauer,11.04.1986,Weiblich,"Gartenweg 64, 70173 Stuttgart",Unklar,Unklar,Unklar,Klar,Mittel,Niedrig,271,2,1,Ja,Einspruch läuft,Ausstehend
23.08.2025 13:06:42,"A2 km 198, Richtung Dortmund",130,198,68,MA-M 7400,Citroen,C4,Kombi,Mustafa Şahin,07.07.2002,Männlich,"Marktplatz 142, 60311 Frankfurt",Unklar,Unklar,Unklar,Regen,Mittel,Mittel,422,2,2,Nein,In Bearbeitung,Ausstehend
10.11.2025 23:39:20,"A61 km 89, Richtung Koblenz",30,70,40,B-M 2352,Ford,Transit,Transporter,Anna Krüger,09.11.1947,Weiblich,"Schulstraße 155, 28195 Bremen",Unklar,Unklar,Unklar,Bewölkt,Nacht - ohne Beleuchtung,Hoch,145,1,,Nein,Abgeschlossen,Bezahlt
13.09.2025 11:26:47,B10 Stuttgart-Zuffenhausen,80,108,28,L-T 2988,Opel,Corsa,Kleinwagen,Mariam Arslan,22.01.2000,Weiblich,"Schulstraße 137, 10115 Berlin",Unklar,Unklar,Unklar,Nebel,Schlecht,Niedrig,119,1,,Nein,Abgeschlossen,Bezahlt
21.10.2025 02:53:53,B17 Landsberg am Lech,30,45,15,MA-GN 6857,Skoda,Octavia,Limousine,Laura Fischer,08.01.1959,Weiblich,"Seestraße 96, 20095 Hamburg",Unklar,Unklar,Unklar,Regen,Schlecht,Mittel,36,0,,Nein,Abgeschlossen,Bezahlt
18.12.2025 08:57:55,"A9 km 321, Richtung München",100,142,42,K-BO 3247,Fiat,Ducato,Transporter,Maria Hussein,13.05.1960,Weiblich,"Schillerstraße 32, 70173 Stuttgart",Unklar,Unklar,Unklar,Nebel,Mittel,Hoch,174,2,1,Nein,Abgeschlossen,Bezahlt
27.03.2025 20:25:41,"A4 km 178, Richtung Dresden",30,37,7,DD-U 5167,Fiat,Tipo,Sportwagen,Ibrahim Richter,04.08.1998,Männlich,"Hauptstraße 108, 44135 Dortmund",Unklar,Unklar,Unklar,Nebel,Schlecht,Mittel,26,0,,Ja,Abgeschlossen,Bezahlt
27.05.2025 16:28:28,B3 Ortsdurchfahrt Celle,80,139,59,KI-WO 5346,Renault,Clio,Kombi,Anastasia Schmidt,14.10.1982,Weiblich,"Sonnenallee 111, 30159 Hannover",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,230,2,1,Nein,In Bearbeitung,Ausstehend
03.03.2025 05:11:56,B27 zwischen Stuttgart und Tübingen,100,150,50,S-TG 1417,Fiat,Tipo,Kombi,Kemal Mansour,22.09.2000,Männlich,"Gartenweg 62, 80331 München",Unklar,Unklar,Unklar,Regen,Mittel,Niedrig,162,2,1,Nein,In Bearbeitung,Ausstehend
29.05.2025 21:35:45,"A2 km 198, Richtung Dortmund",50,91,41,HH-GL 4230,Kia,Rio,Kombi,Natalia Wolf,28.09.1951,Weiblich,"Kantstraße 196, 70173 Stuttgart",Unklar,Unklar,Unklar,Klar,Gut,Hoch,199,2,1,Nein,Abgeschlossen,Bezahlt
13.06.2025 03:39:05,"A40 km 34, Richtung Essen",50,100,50,HB-F 4010,Peugeot,308,Sportwagen,Markus Garcia,07.09.1978,Männlich,"Sonnenallee 185, 90402 Nürnberg",Unklar,Unklar,Unklar,Schnee,Schlecht,Hoch,187,2,1,Nein,In Bearbeitung,Ausstehend
05.12.2025 05:20:30,B17 Landsberg am Lech,130,172,42,DD-EC 2830,Opel,Grandland,Kombi,Maria Müller,26.10.1947,Weiblich,"Leipziger Straße 155, 68159 Mannheim",Unklar,Unklar,Unklar,Nebel,Mittel,Niedrig,200,2,1,Nein,Abgeschlossen,Bezahlt
29.09.2025 23:03:15,"A6 km 267, Richtung Nürnberg",130,202,72,L-X 8455,Citroen,C4,Kombi,Jonas Saleh,11.08.1976,Männlich,"Kirchstraße 26, 90402 Nürnberg",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,676,2,3,Nein,Abgeschlossen,Bezahlt
19.10.2025 11:55:29,"A3 km 112, Richtung Frankfurt",30,37,7,HB-D 556,Skoda,Kodiaq,Kleinwagen,Thomas Rodriguez,26.12.2006,Männlich,"Poststraße 197, 01067 Dresden",Unklar,Unklar,Unklar,Bewölkt,Gut,Mittel,20,0,,Nein,Abgeschlossen,Bezahlt
27.10.2025 01:59:31,"A7 km 89, Richtung Hannover",30,51,21,DO-J 3879,Skoda,Octavia,Kleinwagen,Thomas Schäfer,16.10.2007,Männlich,"Leipziger Straße 199, 10115 Berlin",Unklar,Unklar,Unklar,Schnee,Schlecht,Hoch,85,1,,Nein,In Bearbeitung,Ausstehend
26.07.2025 11:04:20,"A40 km 34, Richtung Essen",130,165,35,E-BX 7692,Skoda,Kodiaq,Kombi,Laura Mansour,21.08.1988,Weiblich,"Marktplatz 125, 30159 Hannover",Unklar,Unklar,Unklar,Bewölkt,Gut,Mittel,122,1,,Nein,Abgeschlossen,Bezahlt
16.12.2025 23:34:07,"A3 km 112, Richtung Frankfurt",50,100,50,K-C 3555,Mercedes-Benz,GLC,Kleinwagen,Emma Becker,08.08.2001,Weiblich,"Kirchstraße 192, 10115 Berlin",Unklar,Unklar,Unklar,Klar,Nacht - ohne Beleuchtung,Hoch,183,2,1,Nein,In Bearbeitung,Ausstehend
31.12.2025 00:01:28,"A81 km 123, Richtung Singen",100,162,62,F-YK 1764,Audi,Q5,SUV,Matthias Ivanov,06.07.1981,Männlich,"Waldweg 164, 60311 Frankfurt",Unklar,Unklar,Unklar,Klar,Nacht - ohne Beleuchtung,Hoch,343,2,2,Nein,Abgeschlossen,Bezahlt
19.08.2025 04:05:04,A10 Berliner Ring km 45,50,80,30,DO-S 6996,Volkswagen,Polo,Kleinwagen,Nina Petrov,21.05.1977,Weiblich,"Sonnenallee 4, 50667 Köln",Unklar,Unklar,Unklar,Nebel,Mittel,Hoch,106,1,,Nein,Abgeschlossen,Bezahlt
26.08.2025 06:47:23,B27 zwischen Stuttgart und Tübingen,30,59,29,E-IG 9187,Hyundai,Tucson,SUV,Tanja Krüger,21.01.1978,Weiblich,"Ringstraße 153, 30159 Hannover",Unklar,Unklar,Unklar,Leichter Regen,Gut,Niedrig,102,1,,Nein,Abgeschlossen,Bezahlt
01.09.2025 02:54:24,"A44 km 67, Richtung Kassel",80,116,36,HH-C 1157,Audi,Q3,SUV,Zeynep Hoffmann,14.01.1975,Weiblich,"Poststraße 111, 60311 Frankfurt",Unklar,Unklar,Unklar,Schnee,Schlecht,Mittel,144,1,,Nein,In Bearbeitung,Ausstehend
21.10.2025 10:36:53,"A44 km 67, Richtung Kassel",120,183,63,DD-E 8408,Audi,Q5,SUV,Hannah Müller,02.02.2007,Weiblich,"Seestraße 110, 68159 Mannheim",Unklar,Unklar,Unklar,Klar,Mittel,Mittel,468,2,2,Nein,In Bearbeitung,Ausstehend
18.07.2025 18:41:58,"A44 km 67, Richtung Kassel",50,64,14,K-C 4374,Renault,Megane,Kleinwagen,Matthias Romano,02.08.1954,Männlich,"Kirchstraße 138, 45127 Essen",Unklar,Unklar,Unklar,Klar,Dämmerung,Sehr hoch,42,0,,Ja,Eingestellt,Ausstehend
09.04.2025 17:00:46,"A44 km 67, Richtung Kassel",130,204,74,L-T 9401,Audi,A6,Kleinwagen,Sofia Schwarz,25.04.1990,Weiblich,"Seestraße 108, 20095 Hamburg",Unklar,Unklar,Unklar,Nebel,Schlecht,Hoch,630,2,3,Nein,In Bearbeitung,Ausstehend
05.07.2025 21:17:06,"A1 km 245, Richtung Hamburg",30,35,5,DO-L 6806,Renault,Kadjar,Transporter,Michael Hoffmann,27.02.1987,Männlich,"Kirchstraße 145, 60311 Frankfurt",Unklar,Unklar,Unklar,Bewölkt,Dämmerung,Hoch,29,0,,Ja,Einspruch läuft,Ausstehend
22.06.2025 13:02:45,"A40 km 34, Richtung Essen",50,82,32,L-Y 3388,Peugeot,208,Transporter,Amina Neumann,22.10.1975,Weiblich,"Schulstraße 65, 90402 Nürnberg",Unklar,Unklar,Unklar,Nebel,Schlecht,Mittel,151,1,,Nein,In Bearbeitung,Ausstehend
19.07.2025 05:15:15,B17 Landsberg am Lech,120,193,73,D-O 4080,Kia,Rio,SUV,Stefan Demir,22.12.1946,Männlich,"Kirchstraße 85, 40210 Düsseldorf",Unklar,Unklar,Unklar,Nebel,Mittel,Niedrig,614,2,3,Nein,Abgeschlossen,Bezahlt
11.04.2025 01:36:49,A10 Berliner Ring km 45,100,119,19,HH-Y 996,Opel,Grandland,Limousine,Hans Müller,03.02.1973,Männlich,"Leipziger Straße 113, 20095 Hamburg",Unklar,Unklar,Unklar,Klar,Nacht - ohne Beleuchtung,Hoch,69,0,,Ja,Eingestellt,Ausstehend
04.08.2025 10:50:08,"A8 km 156, Richtung Stuttgart",50,79,29,HL-P 4554,Fiat,Ducato,Transporter,Ben Al-Hassan,14.02.1978,Männlich,"Leipziger Straße 69, 10115 Berlin",Unklar,Unklar,Unklar,Bewölkt,Gut,Hoch,110,1,,Nein,In Bearbeitung,Ausstehend
06.11.2025 23:34:09,A10 Berliner Ring km 45,30,43,13,D-PV 8267,Renault,Megane,Kombi,Ömer Wagner,20.12.1951,Männlich,"Hauptstraße 175, 90402 Nürnberg",Unklar,Unklar,Unklar,Schnee,Schlecht,Mittel,32,0,,Nein,Abgeschlossen,Bezahlt
18.06.2025 20:13:25,"A44 km 67, Richtung Kassel",120,158,38,B-WQ 1637,Hyundai,i30,Sportwagen,Anna Krüger,28.09.1968,Weiblich,"Hauptstraße 111, 28195 Bremen",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,139,1,,Nein,Abgeschlossen,Bezahlt
13.09.2025 06:50:44,"A95 km 23, Richtung Garmisch",50,68,18,HL-ZV 3756,Fiat,Panda,Sportwagen,Mariam Schulz,07.02.1966,Weiblich,"Schulstraße 147, 20095 Hamburg",Unklar,Unklar,Unklar,Leichter Regen,Dämmerung,Mittel,80,0,,Nein,In Bearbeitung,Ausstehend
14.12.2025 11:51:29,"A2 km 198, Richtung Dortmund",100,125,25,L-WW 6055,Audi,Q7,SUV,Emma Müller,02.11.1951,Weiblich,"Poststraße 86, 68159 Mannheim",Unklar,Unklar,Unklar,Schnee,Mittel,Mittel,94,1,,Nein,In Bearbeitung,Ausstehend
24.09.2025 14:41:43,B27 zwischen Stuttgart und Tübingen,120,157,37,K-J 9081,Citroen,C3,Transporter,Ali Bauer,14.07.1964,Männlich,"Schulstraße 173, 01067 Dresden",Unklar,Unklar,Unklar,Bewölkt,Gut,Niedrig,158,1,,Nein,In Bearbeitung,Ausstehend
12.10.2025 22:40:54,"A2 km 198, Richtung Dortmund",100,169,69,E-JJ 7450,Ford,Fiesta,Kleinwagen,Olivia Kaya,28.11.1994,Weiblich,"Poststraße 47, 20095 Hamburg",Unklar,Unklar,Unklar,Klar,Nacht - ohne Beleuchtung,Hoch,307,2,2,Nein,Abgeschlossen,Mahnung verschickt
03.10.2025 18:32:54,B3 Ortsdurchfahrt Celle,50,80,30,KI-MA 4963,Hyundai,i20,Limousine,Matthias Çelik,10.07.2007,Männlich,"Kantstraße 65, 20095 Hamburg",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,109,1,,Nein,Abgeschlossen,Ausstehend
29.01.2025 04:54:57,"A95 km 23, Richtung Garmisch",130,164,34,N-G 6512,Toyota,RAV4,Sportwagen,Yasemin Braun,27.08.1986,Weiblich,"Poststraße 37, 70173 Stuttgart",Unklar,Unklar,Unklar,Leichter Regen,Nacht - Beleuchtung,Mittel,126,1,,Nein,Abgeschlossen,Mahnung verschickt
26.02.2025 09:24:38,"A44 km 67, Richtung Kassel",30,44,14,H-WR 9866,Seat,Leon,Kleinwagen,Fatima Becker,18.08.1952,Weiblich,"Friedrichstraße 34, 90402 Nürnberg",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,36,0,,Nein,In Bearbeitung,Ausstehend
03.07.2025 14:24:01,"A1 km 245, Richtung Hamburg",120,175,55,L-M 4722,Volkswagen,Touran,Limousine,Sofia Ivanov,14.08.1965,Weiblich,"Ringstraße 142, 01067 Dresden",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,220,2,1,Nein,In Bearbeitung,Ausstehend
22.03.2025 01:32:56,"A7 km 89, Richtung Hannover",30,46,16,HL-A 6757,Mazda,CX-3,SUV,Emre Wolf,21.08.2008,Männlich,"Schillerstraße 109, 20095 Hamburg",Unklar,Unklar,Unklar,Leichter Regen,Nacht - Beleuchtung,Hoch,79,0,,Nein,Abgeschlossen,Mahnung verschickt
17.11.2025 16:51:56,"A8 km 156, Richtung Stuttgart",100,130,30,N-J 6800,Ford,Focus,SUV,Petra Meyer,09.08.1962,Weiblich,"Waldweg 1, 50667 Köln",Unklar,Unklar,Unklar,Leichter Regen,Gut,Sehr hoch,104,1,,Nein,In Bearbeitung,Ausstehend
09.09.2025 02:07:46,"A4 km 178, Richtung Dresden",80,138,58,K-AE 977,Citroen,C4,Sportwagen,Aisha Braun,19.06.1965,Weiblich,"Lindenstraße 162, 50667 Köln",Unklar,Unklar,Unklar,Leichter Regen,Nacht - Beleuchtung,Hoch,234,2,1,Nein,In Bearbeitung,Ausstehend
24.08.2025 22:16:51,"A8 km 156, Richtung Stuttgart",120,172,52,S-F 7632,Skoda,Octavia,SUV,Natalia Schulz,19.02.1975,Weiblich,"Seestraße 91, 90402 Nürnberg",Unklar,Unklar,Unklar,Schnee,Mittel,Hoch,265,2,1,Nein,In Bearbeitung,Ausstehend
29.07.2025 23:02:52,"A5 km 432, Richtung Basel",50,75,25,DD-UK 4135,Audi,A3,Limousine,Felix Schmidt,18.01.1993,Männlich,"Mühlenweg 14, 50667 Köln",Unklar,Unklar,Unklar,Leichter Regen,Nacht - ohne Beleuchtung,Hoch,84,1,,Nein,Abgeschlossen,Bezahlt
10.05.2025 16:30:50,A10 Berliner Ring km 45,30,65,35,H-U 404,Toyota,Yaris,Transporter,Fatma Aydın,28.01.1973,Weiblich,"Marktplatz 56, 04103 Leipzig",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,128,1,,Nein,In Bearbeitung,Ausstehend
06.08.2025 20:16:47,"A3 km 112, Richtung Frankfurt",100,149,49,S-O 9738,Audi,Q3,SUV,Zeynep Aydın,23.12.1996,Weiblich,"Karl-Marx-Straße 126, 04103 Leipzig",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,196,2,1,Ja,Gerichtstermin angesetzt,Ausstehend
04.07.2025 18:00:15,"A5 km 432, Richtung Basel",30,69,39,HB-K 8097,Citroen,SpaceTourer,SUV,Clara Neumann,22.10.1969,Weiblich,"Friedrichstraße 189, 70173 Stuttgart",Unklar,Unklar,Unklar,Leichter Regen,Dämmerung,Hoch,147,1,,Nein,Abgeschlossen,Bezahlt
25.03.2025 03:16:11,"A95 km 23, Richtung Garmisch",30,44,14,H-C 4323,Volkswagen,T-Roc,Transporter,Yasemin Saleh,22.04.1953,Weiblich,"Lindenstraße 134, 80331 München",Unklar,Unklar,Unklar,Leichter Regen,Nacht - Beleuchtung,Hoch,41,0,,Nein,In Bearbeitung,Ausstehend
09.03.2025 21:26:09,"A44 km 67, Richtung Kassel",50,95,45,HH-X 8192,BMW,X3,SUV,David Meyer,11.11.1958,Männlich,"Poststraße 46, 70173 Stuttgart",Unklar,Unklar,Unklar,Regen,Mittel,Hoch,170,2,1,Nein,In Bearbeitung,Ausstehend
23.07.2025 01:40:08,"A44 km 67, Richtung Kassel",50,81,31,M-M 205,Hyundai,Tucson,SUV,Mohammed Schneider,20.12.1996,Männlich,"Ringstraße 129, 28195 Bremen",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,132,1,,Nein,Abgeschlossen,Bezahlt
22.06.2025 20:54:51,"A44 km 67, Richtung Kassel",120,149,29,KI-KT 2052,Skoda,Kamiq,Limousine,Julia Rodriguez,20.01.1973,Weiblich,"Hauptstraße 120, 01067 Dresden",Unklar,Unklar,Unklar,Nebel,Schlecht,Mittel,109,1,,Ja,Abgeschlossen,Bezahlt
02.02.2025 01:31:41,"A40 km 34, Richtung Essen",100,160,60,H-M 7275,Peugeot,308,Kombi,Omar Garcia,22.03.1995,Männlich,"Waldweg 133, 60311 Frankfurt",Unklar,Unklar,Unklar,Regen,Schlecht,Hoch,204,2,1,Nein,Abgeschlossen,Bezahlt
09.05.2025 23:18:05,"A7 km 89, Richtung Hannover",120,152,32,S-E 6267,Mercedes-Benz,C-Klasse,Kleinwagen,Felix Neumann,06.07.1996,Männlich,"Mühlenweg 149, 45127 Essen",Unklar,Unklar,Unklar,Schnee,Schlecht,Mittel,154,1,,Nein,Abgeschlossen,Bezahlt
14.10.2025 22:37:53,"A61 km 89, Richtung Koblenz",30,41,11,H-PT 6541,Skoda,Kamiq,Kleinwagen,Ahmet Neumann,23.08.1980,Männlich,"Seestraße 135, 44135 Dortmund",Unklar,Unklar,Unklar,Klar,Nacht - Beleuchtung,Hoch,39,0,,Nein,Abgeschlossen,Bezahlt
25.06.2025 17:55:32,"A7 km 89, Richtung Hannover",80,139,59,N-W 8792,Ford,Focus,Limousine,Giovanni Richter,02.12.1975,Männlich,"Schulstraße 23, 60311 Frankfurt",Unklar,Unklar,Unklar,Nebel,Schlecht,Sehr hoch,278,2,1,Nein,In Bearbeitung,Ausstehend
22.12.2025 08:05:46,"A8 km 156, Richtung Stuttgart",80,123,43,E-S 7371,Audi,Q3,SUV,Ömer Yılmaz,12.01.1946,Männlich,"Kantstraße 22, 60311 Frankfurt",Unklar,Unklar,Unklar,Bewölkt,Mittel,Sehr hoch,161,2,1,Ja,Abgeschlossen,Bezahlt
20.11.2025 20:58:03,"A40 km 34, Richtung Essen",130,192,62,B-OA 1517,Mercedes-Benz,C-Klasse,Limousine,Isabella Demir,22.02.1975,Weiblich,"Friedrichstraße 32, 30159 Hannover",Unklar,Unklar,Unklar,Bewölkt,Dämmerung,Mittel,375,2,2,Ja,Gerichtstermin angesetzt,Ausstehend
23.05.2025 21:27:20,"A6 km 267, Richtung Nürnberg",80,112,32,DD-BR 6183,Seat,Ibiza,Kleinwagen,Anna Aydın,11.10.1971,Weiblich,"Waldweg 24, 44135 Dortmund",Unklar,Unklar,Unklar,Nebel,Schlecht,Mittel,142,1,,Nein,Abgeschlossen,Bezahlt
18.12.2025 17:10:08,"A8 km 156, Richtung Stuttgart",80,115,35,HB-QF 9232,Opel,Insignia,Kleinwagen,David Schmidt,20.11.2001,Männlich,"Friedrichstraße 62, 28195 Bremen",Unklar,Unklar,Unklar,Bewölkt,Mittel,Sehr hoch,142,1,,Nein,In Bearbeitung,Ausstehend
07.06.2025 11:00:50,"A40 km 34, Richtung Essen",50,91,41,HL-S 3779,Toyota,Corolla,Kombi,Marco Schulz,05.01.1970,Männlich,"Waldweg 10, 45127 Essen",Unklar,Unklar,Unklar,Regen,Schlecht,Hoch,187,2,1,Nein,In Bearbeitung,Ausstehend
03.01.2026 09:35:27,"A61 km 89, Richtung Koblenz",30,62,32,S-D 5436,Ford,Focus,Limousine,Katharina Doğan,10.03.1980,Weiblich,"Gartenweg 142, 68159 Mannheim",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,136,1,,Nein,In Bearbeitung,Ausstehend
20.07.2025 13:03:20,B3 Ortsdurchfahrt Celle,50,69,19,M-N 3321,Citroen,C5,Kombi,Paul Wolf,05.09.2000,Männlich,"Sonnenallee 11, 20095 Hamburg",Unklar,Unklar,Unklar,Nebel,Schlecht,Niedrig,67,0,,Ja,Gerichtstermin angesetzt,Ausstehend
24.09.2025 11:55:28,"A40 km 34, Richtung Essen",50,68,18,M-N 9746,Audi,Q7,SUV,Murat Fischer,11.11.1953,Männlich,"Friedrichstraße 36, 60311 Frankfurt",Unklar,Unklar,Unklar,Schnee,Schlecht,Mittel,78,0,,Nein,Abgeschlossen,Bezahlt
04.04.2025 11:46:15,"A81 km 123, Richtung Singen",30,63,33,M-P 9701,Renault,Scenic,Transporter,Ben Saleh,13.09.1957,Männlich,"Hauptstraße 162, 50667 Köln",Unklar,Unklar,Unklar,Regen,Mittel,Mittel,129,1,,Nein,In Bearbeitung,Ausstehend
04.11.2025 21:25:21,"A81 km 123, Richtung Singen",80,115,35,L-PO 6381,Kia,Picanto,Kleinwagen,Rosa Demir,18.04.1976,Weiblich,"Bahnhofstraße 100, 20095 Hamburg",Unklar,Unklar,Unklar,Bewölkt,Gut,Mittel,143,1,,Nein,In Bearbeitung,Ausstehend
08.07.2025 22:49:48,"A7 km 89, Richtung Hannover",120,184,64,B-MC 9216,Peugeot,5008,Kleinwagen,Ali Mansour,15.02.1993,Männlich,"Lindenstraße 24, 68159 Mannheim",Unklar,Unklar,Unklar,Nebel,Schlecht,Hoch,394,2,2,Nein,Abgeschlossen,Mahnung verschickt
07.01.2026 09:55:08,"A7 km 89, Richtung Hannover",130,208,78,S-T 7769,Fiat,500X,SUV,Mariam Hoffmann,28.11.1998,Weiblich,"Marktplatz 66, 90402 Nürnberg",Unklar,Unklar,Unklar,Leichter Regen,Mittel,Hoch,526,2,3,Nein,Abgeschlossen,Bezahlt
21.08.2025 15:29:35,B10 Stuttgart-Zuffenhausen,30,35,5,KI-HO 692,Kia,Sorento,Kleinwagen,Yusuf Rodriguez,18.07.1989,Männlich,"Hauptstraße 114, 20095 Hamburg",Unklar,Unklar,Unklar,Klar,Mittel,Mittel,29,0,,Nein,In Bearbeitung,Ausstehend
23.05.2025 14:56:06,"A9 km 321, Richtung München",30,35,5,M-T 3898,Kia,Sorento,Kleinwagen,Ömer Hussein,26.01.1946,Männlich,"Seestraße 127, 28195 Bremen",Unklar,Unklar,Unklar,Regen,Schlecht,Mittel,21,0,,Ja,Eingestellt,Ausstehend
14.09.2025 21:38:14,"A5 km 432, Richtung Basel",120,165,45,B-W 1691,Ford,Mondeo,Transporter,Ali Neumann,14.12.1994,Männlich,"Hauptstraße 187, 70173 Stuttgart",Unklar,Unklar,Unklar,Schnee,Mittel,Hoch,168,2,1,Nein,Abgeschlossen,Ausstehend
28.05.2025 02:41:11,B27 zwischen Stuttgart und Tübingen,80,98,18,M-M 2365,BMW,X5,SUV,Aisha Richter,11.05.2000,Weiblich,"Seestraße 64, 50667 Köln",Unklar,Unklar,Unklar,Regen,Schlecht,Mittel,69,0,,Nein,Abgeschlossen,Ausstehend
