Ticket_ID,Timestamp,Submitter_Name,Submitter_Email,Submitter_Phone,Department,Location,Priority,Category,Issue_Title,Issue_Description,Technical_Details,Operating_System,Affected_Software,Hardware_Type,IP_Address,Assigned_Technician,Status,Time_to_First_Response_Hours,Resolution_Time_Hours,Escalated,Recurring_Issue,User_Satisfaction_Rating,Resolution_Notes
TKT-2024-0011,2024-01-17 10:33:28,Martin Braun,m.braun@stadtverwaltung.de,+49 30 9026 3345,Kulturamt,Kulturamt Treptow,Low,Software,Browser constantly showing certificate warnings,Chrome shows security warnings on internal websites. Warning says 'Your connection is not private' with error NET::ERR_CERT_AUTHORITY_INVALID. This started yesterday. Other browsers show same warnings.,Certificate issued by internal CA. Certificate valid until 2025-06-30. System clock correct. Certificate chain incomplete - intermediate CA cert missing. Other users not reporting similar issues on same sites.,Windows 10 Pro,Google Chrome 121,Dell Latitude 7420,192.168.10.267,Michael Koch,Closed,5.1,6.2,No,No,5,Internal CA root certificate expired on user's machine. Pushed updated root certificate via GPO. Browser cache cleared. All internal sites now accessible without warnings.
TKT-2024-0012,2024-01-17 13:47:14,Cornelia Lange,c.lange@stadtverwaltung.de,+49 30 9026 3567,Umweltamt,Umweltamt Lichtenberg,Critical,Hardware,Laptop will not charge - battery critical,Laptop battery at 3% and will not charge. Power adapter plugged in but charging light not on. Cannot work mobile without power. Have important site inspection this afternoon.,Battery icon shows 'Plugged in, not charging'. Tested with different power outlet - no change. Power adapter LED is on (green). Checked adapter voltage with multimeter: 19.5V correct. Battery health: 68% design capacity.,Windows 10 Pro,Multiple,Dell Latitude 5520,192.168.10.298,Thomas Weber,Closed,0.8,2.1,No,No,4,DC power jack loose connection. Re-seated connection and verified charging. Battery charging normally. Laptop issued for site visit. Will schedule proper power jack repair next week.
TKT-2024-0013,2024-01-18 08:09:42,Wolfgang Zimmermann,w.zimmermann@stadtverwaltung.de,+49 30 9026 3789,Rechtsamt,Rechtsamt Marzahn,High,Software,Document management system very slow,The DMS (Documentum) is extremely slow today. Takes 2-3 minutes to open documents. Searching takes forever. Multiple colleagues in legal department experiencing same issue. Yesterday it was fast.,Application response time >120 seconds. Database server CPU at 95%. Multiple long-running queries detected. Transaction log file at 98% capacity. 450 concurrent users (normal: 280). Backup job still running since 03:00.,Windows 10 Pro,Documentum D2 4.7,HP EliteBook 850 G8,192.168.10.334,Sarah Klein,Closed,1.5,4.7,Yes,Yes,2,Database maintenance job hung. Killed stuck backup process. Truncated transaction log. Reindexed database tables. Performance restored. Will investigate backup scheduling issue.
TKT-2024-0014,2024-01-18 09:55:17,Ursula Weber,u.weber@stadtverwaltung.de,+49 30 9026 3901,Jugendamt,Jugendamt Mitte,Medium,Hardware,Mouse cursor jumping around screen,Wireless mouse cursor is jumping erratically around the screen. Very difficult to click on anything. Tried changing batteries - no improvement. Have upcoming video conference and cannot use computer properly.,Logitech M720 Triathlon wireless mouse. USB receiver in port on monitor hub. Cursor movement non-linear and random. No other wireless devices nearby. Tried different USB port - slightly better but still problematic.,Windows 10 Pro,Windows 10,Dell OptiPlex 7090,192.168.10.367,Thomas Weber,Closed,3.4,4.1,No,No,5,Wireless interference from newly installed WiFi access point in adjacent office. Moved USB receiver to front USB port using extension cable. Cursor movement now smooth and accurate.
TKT-2024-0015,2024-01-18 11:22:39,Helmut Krause,h.krause@stadtverwaltung.de,+49 30 9026 4012,Verkehrsamt,Verkehrsamt Steglitz,Low,Access,Forgotten password for permits database,Cannot remember password for vehicle permits database. Last logged in 3 months ago. Need access to process pending permit applications. Tried usual passwords - all failed. Account not locked yet.,Application: KFZ-Zulassung Pro. Account: h.krause. Last successful login: 2023-10-12. Password complexity requirements: 12 characters, uppercase, lowercase, number, special character. No self-service reset available for this legacy system.,Windows 10 Pro,KFZ-Zulassung Pro v3.8,Dell OptiPlex 3080,192.168.10.401,Michael Koch,Closed,7.8,9.2,No,No,3,Verified user identity via phone and employee ID. Reset password via database admin console. Temporary password provided. User successfully logged in and changed to permanent password. Recommended documenting passwords in approved password manager.
TKT-2024-0016,2024-01-18 14:08:53,Gabriele Hoffmann,g.hoffmann@stadtverwaltung.de,+49 30 9026 4234,Bürgeramt,Rathaus Berlin-Mitte,Critical,Software,Citizen registration system completely down,The citizen services application crashed and will not restart. Error message: 'Database connection failed'. Cannot process any citizen requests. Waiting room full of people. Need immediate help!,Application error log shows: 'Cannot connect to database server db-prod-01.local'. Database server is responsive to ping. SQL Server service running. Network connectivity confirmed. Application server: app-buerger-01.,Windows Server 2019,BürgerPlus v5.1,Dell PowerEdge R640,192.168.20.15,Thomas Weber,Closed,0.2,1.8,Yes,No,4,Database server ran out of available connections due to connection pool leak. Recycled application pool. Cleared orphaned connections. System restored. Will monitor for connection leak issue and patch application.
TKT-2024-0017,2024-01-19 08:44:21,Franz Schmidt,f.schmidt@stadtverwaltung.de,+49 30 9026 4456,Grünflächenamt,Grünflächenamt Pankow,Medium,Hardware,Scanner not recognized by computer,Flatbed scanner (Epson Perfection V600) not showing up in Windows. Scan button does nothing. Need to scan building plans for archive. USB cable connected. Scanner power on - green light showing.,Device Manager shows 'Unknown USB Device (Device Descriptor Request Failed)'. Tried different USB ports - same issue. Scanner worked fine last week. Windows 10 shows USB device connect sound but no driver loads.,Windows 10 Pro,Epson Scan 2,HP EliteDesk 800 G6,192.168.10.445,Sarah Klein,Closed,4.6,6.3,No,No,4,USB cable damaged (internal wire break). Replaced USB cable. Scanner detected and drivers installed automatically. Test scan successful. Returned to service.
TKT-2024-0018,2024-01-19 10:17:45,Ingrid Meyer,i.meyer@stadtverwaltung.de,+49 30 9026 4678,Wahlamt,Wahlamt Tempelhof,High,Security,Ransomware warning from antivirus,Antivirus (Windows Defender) popped up warning: 'Threat detected: Ransom:Win32/StopCrypt.PA'. File was quarantined automatically. Very worried about data security. What should I do? Have not noticed any issues yet.,Threat detected in: C:\Users\i.meyer\Downloads\Wahlunterlagen_2024.zip. File quarantined at 10:14:32. Full system scan initiated. No encryption activity detected. No other threats found. File downloaded from personal email attachment.,Windows 10 Pro,Windows Defender,Lenovo ThinkPad T15,192.168.10.478,Michael Koch,Closed,0.6,3.4,Yes,No,5,Confirmed ransomware in downloaded file. File remained quarantined. Full system scan clean. No spread detected. Reminded user about email security policy - no personal email on work computer. Security team notified. Incident logged.
TKT-2024-0019,2024-01-19 13:51:28,Otto Bauer,o.bauer@stadtverwaltung.de,+49 30 9026 4890,Sportamt,Sportamt Charlottenburg,Low,Software,Excel formulas not calculating,Excel spreadsheet formulas showing as text instead of calculating. All formulas display as the formula itself (=SUM(A1:A10)) rather than the result. This is my monthly sports facility usage report. Never had this problem before.,Formulas prefixed with apostrophe making them text. Calculation options set to Automatic. F9 key recalculation does nothing. Columns formatted as Text instead of General. Affects only this specific workbook - new workbooks calculate fine.,Windows 10 Pro,Microsoft Excel 2019,Dell OptiPlex 7080,192.168.10.512,Sarah Klein,Closed,8.3,9.7,No,No,3,Cells formatted as Text before formulas entered. Selected all cells and changed format to General. Re-entered formulas. Calculations now working correctly. Showed user how to check cell formatting before entering formulas.
TKT-2024-0020,2024-01-19 15:33:14,Hildegard Vogt,h.vogt@stadtverwaltung.de,+49 30 9026 5012,Stadtarchiv,Stadtarchiv Neukölln,Medium,Hardware,External hard drive not detected,USB external hard drive with digitized archive documents not showing up. Drive has important scanned historical documents. Drive light is on. Tried multiple computers - none detect it. Makes clicking sound.,Seagate Backup Plus 4TB external drive. USB 3.0 connection. Clicking sound indicates mechanical failure. Drive not visible in Disk Management. Not assigned drive letter. SMART status unavailable. Last successful backup: 5 days ago.,Windows 10 Pro,Windows Explorer,HP EliteDesk 800 G5,192.168.10.534,Thomas Weber,Open,2.9,NULL,Yes,No,NULL,Hard drive mechanical failure suspected. Data recovery required. Contacted data recovery service. Estimated 3-5 days. Verified last backup available on network storage. User can access backup copy while recovery in progress.
TKT-2024-0021,2024-01-20 08:18:56,Manfred Schulze,m.schulze@stadtverwaltung.de,+49 30 9026 5234,Liegenschaftsamt,Liegenschaftsamt Friedrichshain,High,Network,VPN connection keeps dropping,Remote VPN connection disconnects every 10-15 minutes when working from home. Have to reconnect constantly. Very disruptive during video calls. Started happening after returning from holiday break. Internet connection stable otherwise.,Cisco AnyConnect VPN client v4.10. Error log shows: 'The VPN connection was terminated by the secure gateway'. Home router: FritzBox 7590. Download: 100Mbps, Upload: 40Mbps. Ping to VPN gateway times out during disconnection. Other household devices stay connected.,Windows 10 Pro,Cisco AnyConnect VPN,Dell Latitude 5430,10.8.0.78 (VPN IP),Michael Koch,Closed,1.7,5.6,No,Yes,3,Router NAT timeout too aggressive. Instructed user to change NAT session timeout from 300s to 3600s in router settings. Also adjusted VPN keepalive interval. Connection stable for 4 hours test period. Issue resolved.
TKT-2024-0022,2024-01-20 10:45:31,Renate Lehmann,r.lehmann@stadtverwaltung.de,+49 30 9026 5456,Bezirksamt,Bezirksamt Mitte,Medium,Software,Outlook calendar appointments disappearing,Calendar appointments keep disappearing from Outlook. Created meetings yesterday - gone today. Colleagues say they can still see them. Only my view is affected. Very confusing for schedule management.,Outlook 2019 connected to Exchange Server 2019. Calendar view settings: Work Week. Date range: 2024-01-15 to 2024-01-26. Items visible in OWA (Outlook Web App). Shared calendar permissions: Editor. Cache mode enabled.,Windows 10 Pro,Outlook 2019,HP EliteBook 840 G7,192.168.10.567,Sarah Klein,Closed,3.8,7.4,No,No,4,Outlook offline cache corruption. Disabled cached mode temporarily. Cleared local OST file. Re-enabled cached mode and forced full resynchronization. All calendar items now visible. Monitoring for recurrence.
TKT-2024-0023,2024-01-20 13:29:47,Kurt Fischer,k.fischer@stadtverwaltung.de,+49 30 9026 5678,Feuerwehr,Feuerwehr-Hauptwache Kreuzberg,Critical,Hardware,Dispatch computer keyboard not responding,Keyboard on dispatch station #2 completely unresponsive. No key inputs registered. This is backup dispatch station but need functional for emergency coverage. USB keyboard. Tried unplugging/replugging - no change.,Logitech K120 USB keyboard. Device Manager shows as connected. Num Lock LED not responding. Tested keyboard on different computer - works fine. Other USB devices working on dispatch station. USB port LEDs functioning.,Windows 10 Pro,Dispatch Management System v2.4,HP Z2 SFF G9,192.168.30.12,Thomas Weber,Closed,0.3,1.1,Yes,No,5,USB port driver failure. Uninstalled and reinstalled USB Root Hub drivers. Keyboard immediately responsive. All keys tested functional. Dispatch station returned to operational status.
TKT-2024-0024,2024-01-20 15:07:22,Inge Hoffmann,i.hoffmann@stadtverwaltung.de,+49 30 9026 5890,Bibliothek,Stadtbibliothek Spandau,Low,Software,Library catalog search not working properly,The library catalog system search function returning no results for books I know we have. Searching by title, author, or ISBN - all return empty. Patrons are complaining. Catalog database was working this morning.,Software: BiblioCat v7.2. Database: PostgreSQL 12. Search query timeout: 30s. Database server responsive. Can view records by browsing categories. Only search function affected. Error log shows SQL syntax errors in search queries.,Windows 10 Pro,BiblioCat v7.2,Dell OptiPlex 5090,192.168.10.623,Sarah Klein,In Progress,6.7,NULL,No,No,NULL,Recent software update (v7.2.1 applied last night) broke search function. Contacted vendor support. Rollback to v7.2.0 scheduled for tonight during closed hours. Temporary workaround: browse by category.
TKT-2024-0025,2024-01-21 09:33:18,Werner Koch,w.koch@stadtverwaltung.de,+49 30 9026 6012,Ausländerbehörde,Ausländerbehörde Reinickendorf,High,Access,Cannot access residence permit database,The foreign nationals database (AZR-Portal) login failing with error 'Authentication failed'. Checked password multiple times - definitely correct. Colleagues having same issue. Cannot process any applications.,Web-based application. URL: https://azr-portal.verwaltung.local. Error appears after entering credentials. Browser: Chrome 121. Cleared browser cache - no change. Different browsers tested - same result. Network connectivity confirmed.,Windows 10 Pro,AZR-Portal v3.4,Lenovo ThinkCentre M90t,192.168.10.656,Michael Koch,Closed,1.1,3.8,Yes,No,3,Authentication server certificate expired at midnight. Renewed SSL certificate and restarted authentication services. All users can now log in successfully. System restored to full operation. Certificate renewal process review scheduled.
TKT-2024-0026,2024-01-21 11:48:53,Gisela Richter,g.richter@stadtverwaltung.de,+49 30 9026 6234,Pressestelle,Pressestelle Rathaus,Medium,Hardware,Webcam not working for online press conference,Built-in laptop webcam not functioning. Camera app shows black screen. Important online press conference in 2 hours. Microphone works fine. Camera worked last week during test call. Red indicator light does not turn on.,Dell Latitude 7420 built-in webcam. Device Manager shows 'Integrated Webcam' with yellow exclamation. Error code 43. Driver version 10.0.19041.1. Zoom and Teams both show no camera available. Privacy settings show camera access enabled for apps.,Windows 10 Pro,Multiple (Zoom Teams),Dell Latitude 7420,192.168.10.689,Thomas Weber,Closed,0.9,1.6,Yes,No,4,Webcam driver crashed and failed to restart. Uninstalled device from Device Manager. Scanned for hardware changes. Driver reinstalled automatically. Camera functional. Red light activates. Test call successful. Press conference proceeded on schedule.
TKT-2024-0027,2024-01-21 14:22:37,Helmut Becker,h.becker@stadtverwaltung.de,+49 30 9026 6456,Gewerbeamt,Gewerbeamt Wedding,Low,Email,Cannot recall sent email,Sent email to wrong recipient with confidential business license information. Need to recall the message urgently. Email sent 10 minutes ago. Recipient has not opened it yet according to read receipt. How do I recall?,Outlook 2019. Email sent to external address (competitor business). Contains sensitive information about another company's application. Recall function attempted but failed - recipient not on same Exchange server. Message read receipt not enabled.,Windows 10 Pro,Outlook 2019,HP EliteBook 850 G8,192.168.10.712,Sarah Klein,Closed,12.4,13.1,No,No,2,Email recall not possible for external recipients. Contacted email administrator - message still in outbound queue. Successfully deleted from queue before delivery. Crisis averted. Counseled user on checking recipients before sending sensitive information.
TKT-2024-0028,2024-01-21 16:05:44,Christa Neumann,c.neumann@stadtverwaltung.de,+49 30 9026 6678,Standesamt,Standesamt Pankow,Medium,Hardware,Signature pad not capturing signatures,Digital signature pad for marriage certificates not working. When couples sign nothing appears on screen. Pad lights up when touched. Software recognizes pad is connected. Need for wedding ceremony tomorrow morning.,Wacom STU-540 signature pad. USB connection. Wacom driver version 6.3.45-3. Pressure sensitivity test fails. Calibration utility shows no input. Pen tip moves cursor but no signature captured. Works in Wacom test application but not in civil registry software.,Windows 10 Pro,ZivReg Pro v4.2,Dell Precision 3650,192.168.10.745,Thomas Weber,Closed,5.3,8.9,No,Yes,3,Software compatibility issue with latest Wacom driver update. Rolled back driver to version 6.3.42-1. Signature pad now capturing signatures correctly. Test signatures successful. Device ready for ceremony. Will hold driver at this version pending software update.
TKT-2024-0029,2024-01-22 08:57:12,Dieter Lange,d.lange@stadtverwaltung.de,+49 30 9026 6890,Kämmerei,Kämmerei Hauptgebäude,High,Software,SAP system extremely slow,SAP ERP system running extremely slowly this morning. Transaction response times 5-10 minutes. Affects all financial modules. Month-end closing deadline today. Multiple departments reporting same issue. System unusable.,SAP ERP 6.0 EHP8. Application server CPU: 28% (normal). Database server CPU: 89%. Multiple long-running queries in ST04 transaction. Table BSEG (accounting document segment) extremely large. Last successful backup: completed. Active users: 234.,Windows 10 Pro,SAP GUI 7.70,HP Z2 Tower G9,192.168.10.778,Sarah Klein,Closed,0.7,5.4,Yes,Yes,2,Database statistics outdated causing poor query performance. Executed database optimization (DB13). Updated table statistics for BSEG and related tables. Performance restored to normal. Response time <3 seconds. Month-end closing proceeding. Regular maintenance schedule needed.
TKT-2024-0030,2024-01-22 10:41:28,Elfriede Wagner,e.wagner@stadtverwaltung.de,+49 30 9026 7012,Gesundheitsamt,Gesundheitsamt Mitte,Medium,Software,Cannot open PDF attachments in email,Outlook emails with PDF attachments won't open. Error: 'This file does not have a program associated with it'. Excel and Word attachments open fine. Only PDFs affected. Need to review health inspection reports sent as PDFs.,Adobe Acrobat Reader DC installed. Version 2023.006.20380. PDF files saved to desktop open correctly with Acrobat. Issue only when opening directly from Outlook attachment. File associations appear correct in Windows settings. Other users not experiencing this issue.,Windows 10 Pro,Outlook 2019 Adobe Acrobat,Dell OptiPlex 7090,192.168.10.801,Michael Koch,Closed,4.5,6.8,No,No,4,Outlook file handler association broken. Repaired Office installation through Control Panel. Reset default file associations for PDF. Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.pdf cleaned. PDF attachments now opening correctly from Outlook.
TKT-2024-0031,2024-01-22 13:19:55,Volker Schulz,v.schulz@stadtverwaltung.de,+49 30 9026 7234,Bauhof,Bauhof Treptow,Low,Hardware,Barcode scanner not reading labels,Handheld barcode scanner not scanning equipment inventory labels. Red laser visible. Beep sounds on trigger press but no data captured. Need to complete quarterly inventory. Worked fine last quarter.,Symbol LS2208 barcode scanner. USB connection. Scanner configured for keyboard wedge mode. Scans work in Notepad (data appears as typed text). Does not work in inventory application. Application expecting data in different format.,Windows 10 Pro,InventoryPro v2.8,HP EliteDesk 800 G5,192.168.10.834,Thomas Weber,Closed,9.6,11.2,No,No,3,Scanner output format mismatch. Application expects data with CR/LF suffix. Scanner configured for data only. Reprogrammed scanner with setup barcode to add carriage return/line feed after data. Scanner now populating inventory fields correctly. Inventory proceeding.
TKT-2024-0032,2024-01-22 15:47:31,Brigitte Hoffmann,b.hoffmann@stadtverwaltung.de,+49 30 9026 7456,Sozialamt,Sozialamt Neukölln,Critical,Software,Social services database showing wrong client information,Client database showing incorrect person data when searching by case number. Search for case #2024-0156 shows data for completely different person. Critical data integrity issue. Cannot process benefits applications until resolved. Multiple case workers affected.,Database: SQL Server 2019. Application: SozialPlus v6.3. Query returns wrong PersonID for CaseNumber. Database logs show no unauthorized modifications. Recent database migration performed weekend before last. Data validation checksums mismatched.,Windows 10 Pro,SozialPlus v6.3,Lenovo ThinkCentre M720,192.168.10.867,Sarah Klein,Open,0.5,NULL,Yes,Yes,NULL,Critical database index corruption after migration. Database administrators investigating. Temporary workaround: search by client name and verify manually. Full database integrity check running. Estimated resolution time: 6-8 hours. Management escalated.
TKT-2024-0033,2024-01-23 09:12:44,Friedrich Krause,f.krause@stadtverwaltung.de,+49 30 9026 7678,Verkehrsplanung,Verkehrsplanung Lichtenberg,Medium,Software,GIS software crashing when loading map layers,ArcGIS Pro crashes when attempting to load traffic planning layers. Error: 'ArcGIS Pro has encountered a serious application error'. Base maps load fine. Only custom layers with traffic data cause crash. Need for traffic analysis report due Friday.,ArcGIS Pro 3.1. Layer file size: 2.3GB. Memory usage spikes to 15GB then application crashes. Event log shows out of memory exception. System has 16GB RAM. Crash dump file generated. Other GIS projects open successfully without traffic layers.,Windows 10 Pro,ArcGIS Pro 3.1,HP Z2 Tower G9 Workstation,192.168.10.898,Thomas Weber,In Progress,2.8,NULL,No,No,NULL,Layer data exceeds available memory. Attempting to optimize layer by reducing feature density. Also investigating RAM upgrade to 32GB. User advised to work with smaller geographic extents in meantime. Coordinating with GIS administrator for permanent solution.
TKT-2024-0034,2024-01-23 11:38:17,Annemarie Meyer,a.meyer@stadtverwaltung.de,+49 30 9026 7890,Kulturamt,Kulturamt Spandau,High,Access,Locked out of building access control system,Cannot log into building access card management system. Need to program access cards for new cultural center staff starting today. System showing 'Access Denied' with my admin credentials. Verified password is correct. Worked yesterday.,Web-based system: BuildingAccess Pro v4.5. URL: https://access.stadtverwaltung.local. Browser: Firefox 122. Credentials: a.meyer / [verified correct]. Account status in Active Directory: Enabled. No recent policy changes. Error code: 401 Unauthorized.,Windows 10 Pro,BuildingAccess Pro v4.5,Dell OptiPlex 5090,192.168.10.923,Michael Koch,Closed,1.4,2.9,No,No,5,User account permissions modified accidentally during security group cleanup yesterday. Restored user to 'BuildingAccess_Admins' security group. Access immediately restored. New staff access cards programmed successfully. Permission audit scheduled to prevent recurrence.
TKT-2024-0035,2024-01-23 14:25:39,Georg Bauer,g.bauer@stadtverwaltung.de,+49 30 9026 8012,Umweltamt,Umweltamt Charlottenburg,Low,Hardware,Monitor display flickering,Primary monitor flickering intermittently. Annoying but not preventing work. Flickering increases in frequency throughout day. Monitor: Dell P2422H 24-inch. Connected via DisplayPort. Second monitor on same computer works fine. Started 3 days ago.,DisplayPort cable connection secure. Monitor OSD menu also flickers (rules out PC issue). Monitor firmware version: M2T104. Tried different DisplayPort cable - flickering persists. Refresh rate: 60Hz. Resolution: 1920x1080. Monitor purchased 18 months ago.,Windows 10 Pro,Windows 10,Dell OptiPlex 7090,192.168.10.956,Thomas Weber,Closed,7.2,25.6,No,No,4,Monitor backlight failing (hardware fault). Under Dell warranty. Opened warranty case. Replacement monitor shipped overnight. Installed and configured replacement. Defective monitor returned to Dell for repair. User satisfied with new monitor.
